Identificador de URL;Nome;Categorias;Preço;Preço promocional;Peso (kg);Largura (cm);Comprimento (cm);Altura (cm);Exibir na loja;Estoque;SKU;Código de barras;Descrição;Tags;Título para SEO;Descrição para SEO;Marca;URL da imagem principal;URLs de imagens adicionais
"effervescent-100ml";"Effervescent";"Linha Niche";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-250827081";"";"<p>EFFERVESCENT – LAB 8 NICHE 🍋 Desperte seus sentidos com a explosão vibrante do Effervescent, a nova joia da LAB 8 NICHE! Há fragr&acirc;ncias cítricas. E há fragr&acirc;ncias que redefinem o que o cítrico pode ser. O EFFERVESCENT pertence à segunda categoria — e não é por acaso! Uma fragr&acirc;ncia compartilhável, com projeção e fixação que surpreendem e uma assinatura olfativa que vibra na pele, atrai elogios espont&acirc;neos e permanece na memória de todos ao redor.</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"niche, cítrico-amadeirado-ambarado-–-compartilhável, perfume, alta-fixacao, lab-8";"Effervescent | Glitz Alta Perfumaria";"Compre Effervescent na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"perfumes-masculinos-perfume-lab-8-eau-de-miako-100ml";"Eau de Miyako";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169333999";"";"<p>EAU DE MIYAKO – LAB 8 🌊 Existem lugares que não precisam ser visitados para serem sentidos. Miyako-jima é um desses lugares. Uma ilha no extremo sul do Japão, cercada por águas de um azul impossível, onde o horizonte se dissolve entre o céu e o mar com uma beleza que desafia qualquer descrição. O EAU DE MIYAKO nasceu dessa visão, uma fragr&acirc;ncia que captura não apenas o frescor do oceano, mas toda a serenidade, a profundidade e a eleg&acirc;ncia silenciosa de um paraíso que poucos conhecem.</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"masculinos, aquático-cítrico-amadeirado-–-masculino, perfume, alta-fixacao, lab-8";"Eau de Miyako | Glitz Alta Perfumaria";"Compre Eau de Miyako na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"perfumes-masculinos-perfume-lab-8-jobs-100ml";"Jobs Intense";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334000";"";"<p>JOBS INTENSE – LAB 8 🖤 Intensidade não é volume. É profundidade. O JOBS INTENSE foi criado para o homem que compreende essa diferença. Uma fragr&acirc;ncia que não precisa gritar para dominar o ambiente — ela simplesmente se instala, evolui e permanece com uma presença que é ao mesmo tempo irresistível e sofisticada.</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"masculinos, amadeirado-especiado-–-masculino, perfume, alta-fixacao, lab-8";"Jobs Intense | Glitz Alta Perfumaria";"Compre Jobs Intense na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"effervescent-summer-100ml";"Effervescent Summer";"Linha Niche";"177.00";"188.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-327989758";"";"<p>EFFERVESCENT SUMMER – LAB 8 NICHE Se você está procurando aquele perfume que arranca elogios no primeiro spray&hellip; pode parar por aqui. nasce da fusão de dois universos olfativos de nicho simplesmente sensacionais: de um lado, o frutado tropical envolvente, suculento, vibrante. Do outro, o cítrico luminoso, energizante, que abre a fragr&acirc;ncia com aquele brilho quase efervescente na pele. O resultado? Um</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"niche, cítrico-frutado-gourmand-–-compartilhável, perfume, alta-fixacao, lab-8";"Effervescent Summer | Glitz Alta Perfumaria";"Compre Effervescent Summer na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"perfumes-masculinos-100ml-perfume-savana-100ml";"Savana";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169334008";"";"<p>Há uma força que não precisa se anunciar. Ela simplesmente existe. O SAVANA foi criado para capturar exatamente isso: a energia silenciosa e poderosa de uma paisagem que impressiona não pelo barulho, mas pela grandiosidade. Uma fragr&acirc;ncia que carrega a vastidão, a liberdade e a nobreza selvagem de quem não precisa de moldura para se destacar. Cítrico na abertura, aromático e herbal no coração e com uma base amadeirada e ambarada que se funde à pele com eleg&acirc;ncia — moderado na intensidade, generoso na presença.</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"masculinos, cítrico-aromático-–-compartilhável, perfume, alta-fixacao, lab-8";"Savana | Glitz Alta Perfumaria";"Compre Savana na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"perfumes-masculinos-blue-de-lab-8-100ml";"Blue";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169328141";"";"<p>Eleg&acirc;ncia verdadeira não anuncia sua chegada. Ela simplesmente se impõe. O BLUE foi criado para o homem que compreende essa distinção. Não a eleg&acirc;ncia que se performa para ser notada — a eleg&acirc;ncia que nasce de dentro, que se manifesta na postura, na escolha e na assinatura olfativa que permanece muito depois da sua saída. Uma fragr&acirc;ncia que não compete por atenção. Ela simplesmente a conquista. Aromático, sofisticado e construído sobre uma base resinosa e amadeirada de rara profundidade, o BLUE é a escolha do homem que transita entre mundos diferentes com a mesma compostura: da reunião ao jantar, do dia à noite, do escritório ao encontro que importa.</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"masculinos, aromático-amadeirado-–-compartilhável, perfume, alta-fixacao, lab-8";"Blue | Glitz Alta Perfumaria";"Compre Blue na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"perfume-lab-8-codigo-8-100-ml";"Código 8";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-184589600";"";"<p>Regras existem para quem precisa delas. O CÓDIGO 8 foi criado para o homem que já superou essa etapa. Amadeirado, aromático e com uma abertura cítrica que desperta os sentidos com precisão cirúrgica — moderado na intensidade, generoso na presença. Versátil o suficiente para o dia. Sofisticado o suficiente para a noite. Marcante o suficiente para ser lembrado sempre. Amadeirado Aromático – Masculino</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"masculinos, amadeirado-aromático-–-masculino, perfume, alta-fixacao, lab-8";"Código 8 | Glitz Alta Perfumaria";"Compre Código 8 na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"perfumes-masculinos-perfume-lab-8-allumer-100ml";"Allumer";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169333984";"";"<p>ALLUMER SPORT – LAB 8 🌊 Liberdade não se explica. Se sente. O ALLUMER SPORT foi criado para o homem que não precisa de palco para ser notado. Ele carrega consigo uma energia natural, uma leveza de quem está em paz com quem é e uma presença que atrai sem forçar. Uma fragr&acirc;ncia que respira frescor, mas que guarda profundidade, exatamente como o homem que a usa.</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"masculinos, amadeirado-especiado-–-compartilhável, perfume, alta-fixacao, lab-8";"Allumer | Glitz Alta Perfumaria";"Compre Allumer na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"perfumes-masculinos-100ml-perfume-deep-ventus-100ml";"Deep Ventus";"Linha Niche";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169333995";"";"<p>DEEP VENTUS – LAB 8 🌬️ Há uma diferença entre estar presente e deixar uma marca. O DEEP VENTUS foi criado para quem entende essa distinção. Uma fragr&acirc;ncia que não se contenta em apenas existir no ambiente — ela o transforma. Cítrica na abertura, profunda no coração e esfumaçada na base, é uma composição que carrega a dualidade perfeita entre frescor e mistério, entre leveza e presença.</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"niche, chipre-frutado-–-compartilhável, perfume, alta-fixacao, lab-8";"Deep Ventus | Glitz Alta Perfumaria";"Compre Deep Ventus na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
"perfumes-masculinos-100ml-perfume-acqua-di-otto-100ml";"Acqua di Otto";"Perfumes Masculinos";"147.00";"158.00";"0.350";"8";"8";"15";"SIM";"50";"GLZ-169333982";"";"<p>ACQUA DI OTTO – LAB 8 🌊 Existem perfumes que você usa. E existem perfumes que você sente. O ACQUA DI OTTO pertence à segunda categoria. Ele não imita o frescor — ele o recria com uma precisão sensorial que vai além do olfato. É a memória de uma manhã à beira-mar, o vento que carrega sal e cítrico, a leveza de um dia que começa com energia e termina com eleg&acirc;ncia.</p><p><strong>Família Olfativa:</strong> Oriental</p><p><strong>Notas de Topo:</strong> </p><p><strong>Notas de Coração:</strong> </p><p><strong>Notas de Fundo:</strong> </p>";"masculinos, aquático-cítrico-–-compartilhável, perfume, alta-fixacao, lab-8";"Acqua di Otto | Glitz Alta Perfumaria";"Compre Acqua di Otto na Glitz Perfumaria com o melhor preço e fixação extrema.";"Glitz";"";""
